Vauxhall, Corsa Sport SRi, 8.0
Fiat, Bravo 1.9 Sport Multijet, 8.0
Honda, Civic CRX 1.6i VT, 8.1
Fiat, Grande Punto Abarth, 8.1
BMW, 320d E90, 8.1
Volkswagen, Golf GTI Mk1, 8.1
Vauxhall, Astra SRi, 8.1
Audi, A4  2.8 Quattro, 8.1
Citroen, C2 VTS, 8.1
Fiat, Stilo Abarth, 8.2
Seat, Leon FR TDI, 8.2
Toyota, MR2 Mk1, 8.2
Peugeot, 405 Mi16, 8.2
Proton, Satria GTi, 8.3
Peugeot, 407 Coupe  3.0 V6, 8.3
Ford, Escort RS2000 Mk5, 8.3
Honda, Civic VTi-S, 8.3
Peugeot, 309 GTi, 8.3
Volkswagen, Lupo GTi, 8.3
Renault, Megane dCi, 8.3
DeLorean, DMC-12, 8.3
Peugeot, 207 CC GT, 8.4
Ford, Capri 3000E GT, 8.4
Fiat, Punto HGT, 8.4
Ford, Mondeo ST24, 8.4
BMW, 320d E46, 8.4
Seat, Ibiza FR, 8.4
Range, Rover Sport TDV8, 8.6
Volkswagen, Golf  2.0 FSI Mk5, 8.6
Ford, Puma, 8.6
Audi, A4 1.8T Sport, 8.6
Fiat, Punto GT, 8.7
Peugeot, 106 GTi, 8.7
Renault, Renaultsport Twingo 133 Cup, 8.7
Fiat, Barchetta, 8.7
Volkswagen, Passat Sport 1.8 20v Turbo, 8.7
Avanti, Avanti II, 8.8
Audi, A6  2.5 TDi, 8.8
Fiat, Coupe 20v, 8.8
Honda, Civic Type S, 8.9
Audi, TT Roadster, 8.9
Audi, A4 Avant, 8.9
Suzuki, Swift Sport, 8.9
Fiat, Grande Punto 1.4 T-Jet, 8.9
Vauxhall, Corsa GSi, 9.0
Range, Rover V8 Vogue, 9.0
Mitsubishi, FTO, 9.0
Alfa, Romeo Spider , 9.1
Mazda, MX-5, 9.1
Triumph, Dolomite Sprint, 9.1
Fiat, Coupe 16v, 9.2
Citroen, Saxo VTR, 9.3
Mazda, MX-5 1.8i, 9.3
Fiat, Panda 100HP, 9.3
Alfa, Romeo 166  2.0 TS, 9.3
Alfa, Romeo 147 Selespeed, 9.5
Ford, Sportka SE, 9.5
Rover, 216 GTi Coupe, 9.5
Fiat, 130 Coupe, 9.6
Skoda, Fabia VRS, 9.6
Peugeot, 106 Rallye, 9.6
Ford, Fiesta Zetec S, 9.7
Renault, Twingo GT, 9.7
BMW, 318is, 9.7
Nissan, Micra Sport SR, 9.8
